id,vege_name,preview_tag
448142,九層塔,蛋
448142,九層塔,九層塔
448142,九層塔,鹽
448142,九層塔,醬油可省略
450744,九層塔,麵腸
450744,九層塔,九層塔
450744,九層塔,薑絲蒜末
450744,九層塔,米酒
452410,九層塔,雞蛋
452410,九層塔,九層塔葉
452410,九層塔,華盛頓加拉蘋果
452410,九層塔,鹽巴
452410,九層塔,起司粉
452410,九層塔,砂糖
458405,九層塔,煉乳
458405,九層塔,奶油
458405,九層塔,蜂蜜
458405,九層塔,蛋
458405,九層塔,低筋麵粉
458405,九層塔,杏仁粉或玉米粉
458405,九層塔,二砂糖或普通砂糖
458405,九層塔,羅勒葉
449881,九層塔,白飯或隔夜飯
449881,九層塔,九層塔
449881,九層塔,雞蛋
449881,九層塔,油
449881,九層塔,醬油
449881,九層塔,鹽巴
446878,九層塔,九層塔
446878,九層塔,蛋
446878,九層塔,鹽巴
446878,九層塔,醬油
465464,九層塔,蛤蠣
465464,九層塔,九層塔
465464,九層塔,蒜頭
465464,九層塔,薑片
465464,九層塔,蔥
465464,九層塔,黑麻油
465464,九層塔,醬油膏
465464,九層塔,米酒
465464,九層塔,烏醋
464974,九層塔,蚵仔
464974,九層塔,地瓜粉
464974,九層塔,九層塔
464974,九層塔,胡椒粉
453640,九層塔,櫛瓜
453640,九層塔,蝦花蝦
453640,九層塔,吻仔魚
453640,九層塔,胡蘿蔔絲
453640,九層塔,九層塔
453640,九層塔,蛋
464260,九層塔,九層塔
464260,九層塔,核桃
464260,九層塔,橄欖油
464260,九層塔,黑胡椒
464260,九層塔,鹽
464260,九層塔,味精
452414,九層塔,雞胸肉
452414,九層塔,九層塔葉
452414,九層塔,華盛頓翠玉蘋果
452414,九層塔,醬油
452414,九層塔,糖
452414,九層塔,胡椒粉
452414,九層塔,洋蔥
452414,九層塔,胡蘿蔔
452414,九層塔,蓮藕粉
454884,九層塔,蒜頭
454884,九層塔,蔥
454884,九層塔,海鹽
454884,九層塔,九層塔
454884,九層塔,義式香料
454884,九層塔,koli
454884,九層塔,歌林多功能食物調理
454884,九層塔,無鹽奶油
454884,九層塔,細砂糖
454884,九層塔,起司粉
460562,九層塔,茄子
460562,九層塔,蒜末
460562,九層塔,薑泥
460562,九層塔,辣椒末
460562,九層塔,九層塔切絲
460562,九層塔,羅漢果糖
460562,九層塔,香油
460562,九層塔,米醋
460562,九層塔,醬油
445241,九層塔,蚵仔
445241,九層塔,蔥花
445241,九層塔,薑絲
445241,九層塔,豆腐
445241,九層塔,米酒
445241,九層塔,白醋
445241,九層塔,香油
445241,九層塔,九層塔
